,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+01:00,140.69,26.35,47.44,8.09,0.0,34.96,928.9,532.38
2025-01-01 01:00:00+01:00,146.95,26.66,39.92,8.2,0.0,34.56,537.15,527.23
2025-01-01 02:00:00+01:00,160.33,26.56,39.71,8.14,0.0,34.32,204.55,527.26
2025-01-01 03:00:00+01:00,152.97,26.7,39.85,8.17,0.0,34.46,204.2,530.62
2025-01-01 04:00:00+01:00,158.96,26.64,39.66,8.14,0.0,34.59,392.21,516.82
2025-01-01 05:00:00+01:00,131.7,26.81,39.88,8.18,0.0,34.43,397.33,517.94
2025-01-01 06:00:00+01:00,131.07,26.86,39.98,8.2,0.0,42.16,400.72,523.66
2025-01-01 07:00:00+01:00,147.03,26.96,40.12,8.24,0.0,42.18,550.51,528.12
2025-01-01 08:00:00+01:00,180.82,27.68,41.24,8.44,0.0,42.09,888.32,528.73
2025-01-01 09:00:00+01:00,164.49,27.79,41.4,8.47,1.71,42.27,900.62,521.91
2025-01-01 10:00:00+01:00,162.24,27.61,41.11,8.42,10.44,42.14,902.52,527.51
2025-01-01 11:00:00+01:00,170.39,27.98,41.74,8.54,16.25,38.36,920.83,543.3
2025-01-01 12:00:00+01:00,183.75,27.85,41.54,8.5,15.12,37.21,927.72,547.92
2025-01-01 13:00:00+01:00,185.35,37.18,56.72,11.42,11.84,35.88,927.12,536.66
2025-01-01 14:00:00+01:00,173.18,41.18,63.25,12.67,3.14,35.96,927.33,541.19
2025-01-01 15:00:00+01:00,158.62,43.38,66.83,13.36,0.09,36.44,925.33,539.48
2025-01-01 16:00:00+01:00,217.41,71.2,111.97,22.04,0.0,39.87,922.27,516.79
2025-01-01 17:00:00+01:00,179.75,83.45,131.88,25.87,0.0,41.48,908.8,486.76
2025-01-01 18:00:00+01:00,184.27,71.79,112.97,22.23,0.0,39.86,911.81,493.01
2025-01-01 19:00:00+01:00,215.89,43.82,67.51,13.49,0.0,36.37,918.78,496.37
2025-01-01 20:00:00+01:00,184.74,41.32,63.48,12.71,0.0,35.83,915.35,468.39
2025-01-01 21:00:00+01:00,177.4,40.88,62.93,12.61,0.0,36.25,918.59,476.32
2025-01-01 22:00:00+01:00,180.62,40.78,62.71,12.57,0.0,36.58,906.46,469.87
2025-01-01 23:00:00+01:00,160.47,41.74,64.4,12.89,0.0,36.29,889.65,440.9
2025-01-02 00:00:00+01:00,188.64,41.17,63.54,12.73,0.0,36.27,638.87,340.17
2025-01-02 01:00:00+01:00,248.36,41.56,64.17,12.85,0.0,36.51,615.14,272.92
2025-01-02 02:00:00+01:00,273.01,41.42,63.94,12.8,0.0,36.18,634.97,281.01
2025-01-02 03:00:00+01:00,254.88,41.7,64.48,12.91,0.0,36.11,873.89,311.18
2025-01-02 04:00:00+01:00,292.87,63.98,100.68,19.87,0.0,39.02,735.23,354.41
2025-01-02 05:00:00+01:00,349.9,83.41,134.5,25.95,0.0,42.51,864.84,370.23
2025-01-02 06:00:00+01:00,420.59,85.87,145.27,29.91,0.0,48.95,913.91,406.47
2025-01-02 07:00:00+01:00,482.43,116.72,196.9,37.33,0.0,49.62,898.63,373.19
2025-01-02 08:00:00+01:00,478.81,126.31,217.07,38.5,1.29,50.18,862.43,273.49
2025-01-02 09:00:00+01:00,477.85,126.97,217.95,38.6,41.91,49.85,788.17,190.49
2025-01-02 10:00:00+01:00,481.15,127.16,218.51,38.68,142.45,49.64,720.34,163.18
2025-01-02 11:00:00+01:00,506.88,98.74,228.84,40.0,268.53,49.21,701.32,121.16
2025-01-02 12:00:00+01:00,510.78,96.02,227.6,39.91,295.75,49.49,659.23,112.56
2025-01-02 13:00:00+01:00,534.45,84.75,209.1,36.39,248.02,48.94,502.24,97.3
2025-01-02 14:00:00+01:00,574.24,80.07,201.46,34.91,137.09,53.49,447.48,82.29
2025-01-02 15:00:00+01:00,578.69,80.45,201.99,35.04,26.53,53.85,424.66,101.07
2025-01-02 16:00:00+01:00,576.12,78.62,199.07,34.45,0.08,45.55,461.15,136.56
2025-01-02 17:00:00+01:00,554.86,77.97,198.58,34.28,0.0,46.34,493.0,197.49
2025-01-02 18:00:00+01:00,558.83,77.57,197.94,34.17,0.0,46.98,710.7,234.84
2025-01-02 19:00:00+01:00,556.19,79.38,201.1,34.7,0.0,50.81,784.33,253.59
2025-01-02 20:00:00+01:00,493.11,93.41,223.72,39.09,0.0,49.09,825.76,251.87
2025-01-02 21:00:00+01:00,485.18,91.94,221.29,36.8,0.0,43.38,801.64,257.92
2025-01-02 22:00:00+01:00,487.73,92.0,221.46,36.64,0.0,44.91,809.66,239.3
2025-01-02 23:00:00+01:00,489.78,91.6,220.79,36.52,0.0,41.49,818.95,214.18
2025-01-03 00:00:00+01:00,487.35,88.14,210.69,35.44,0.0,42.03,762.09,210.68
